case_id,structure,article,status,date_opened,date_closed,investigator,suspect,evidence_count
6e64eb1d-c4a8-4229-bc7a-52d00ef67d34,Прокуратура,185,Закрыто,2025-01-06,,Опер #21,Гр. Сидоренко 106,1
af42a830-6158-481d-b3c5-db11a7256349,СБУ,289,Закрыто,2023-11-30,,Опер #100,Гр. Иванов 116,5
10b1486d-a1f9-4ff1-9240-39ef01eeac8a,СБУ,187,Закрыто,2025-10-03,,Опер #18,Гр. Сидоренко 583,10
68f37198-0aac-43a1-a543-75d6a7b07d92,НПУ,121,В работе,2021-03-03,2021-10-22,Опер #61,Гр. Мельник 561,4
244136f3-684f-4473-955b-2f6be451c876,Прокуратура,296,Ожидание экспертизы,2022-03-19,2023-04-19,Опер #180,Гр. Сидоренко 965,4
316cb3c0-066f-42c5-a1c7-1c6edbfcc582,Прокуратура,263,Передано в суд,2021-03-28,2022-03-27,Опер #44,Гр. Сидоренко 759,11
3a887419-763c-42be-92de-5ef509ef3e66,НПУ,115,В работе,2022-10-03,,Опер #193,Гр. Петров 973,10
11d932e6-1a05-44ba-9011-4181c98cfef2,НПУ,309,Ожидание экспертизы,2023-06-03,,Опер #138,Гр. Гончар 916,9
e242e12d-5103-4fca-92f3-a3cbbf087b28,СБУ,115,Закрыто,2022-02-15,,Опер #118,Гр. Гончар 763,4
e9add308-d717-4779-951d-00513974f488,СБУ,187,Закрыто,2021-05-03,,Опер #155,Гр. Мельник 553,15
067a15e4-81d5-46c5-b437-d074903fed88,Прокуратура,296,Ожидание экспертизы,2025-11-20,2026-02-18,Опер #122,Гр. Иванов 309,9
d904f940-d166-40ca-b2c9-5fdec05d439c,СБУ,115,Закрыто,2022-01-01,2022-12-11,Опер #137,Гр. Мельник 282,3
4a36d7ff-4287-454c-8c39-8c9b0eeb2ccc,Прокуратура,187,На розыске,2023-07-14,,Опер #76,Гр. Петров 602,11
852dedc7-1bb2-4292-af68-db9783750903,Прокуратура,187,На розыске,2021-05-21,2022-05-04,Опер #21,Гр. Сидоренко 859,7
d1c1f874-0b98-41f2-bd1e-00cbb139dd39,НПУ,121,В работе,2023-12-27,,Опер #8,Гр. Сидоренко 493,10
881ec59f-5110-4206-9ab4-81135b215683,НПУ,185,Закрыто,2020-01-11,,Опер #115,Гр. Сидоренко 223,0
96d92f84-63eb-424a-966f-f637f81899f8,СБУ,309,Передано в суд,2022-03-30,,Опер #143,Гр. Иванов 816,12
77d8edf4-ec42-402b-967e-438c8cbdcfc4,Прокуратура,187,В работе,2023-03-10,2024-03-12,Опер #171,Гр. Гончар 295,1
c4d5a28c-d25d-499c-8e4c-1f14b0aecff4,НПУ,296,Ожидание экспертизы,2023-09-18,,Опер #36,Гр. Иванов 378,4
5733eb36-35eb-4111-bc39-e1848d19fbf4,СБУ,185,Закрыто,2021-02-10,,Опер #91,Гр. Гончар 513,0
7eee3bae-c745-4d3c-93dc-08908d3634d0,Прокуратура,115,Ожидание экспертизы,2020-06-23,2021-01-18,Опер #43,Гр. Сидоренко 823,8
c3308df9-b58e-4277-b58e-d2aeecdb8bd3,НПУ,115,В работе,2023-04-18,,Опер #133,Гр. Петров 413,2
744dd6c0-ec49-4080-af6b-011b429b2a0a,Прокуратура,187,Ожидание экспертизы,2024-08-04,,Опер #95,Гр. Иванов 249,1
80b0505e-8259-4403-8f25-294c9177e4e9,СБУ,289,Ожидание экспертизы,2025-05-07,,Опер #38,Гр. Петров 543,14
6e459768-2a1a-40c3-ab58-5f916effd0e6,Прокуратура,115,Закрыто,2023-11-05,,Опер #85,Гр. Иванов 537,1
bb9e8132-f6e1-4bef-a7d9-b43f1e81cc5a,СБУ,309,Ожидание экспертизы,2023-10-26,,Опер #177,Гр. Петров 745,12
ae043eb8-b6e9-4de9-ab48-7594611764d2,СБУ,296,Передано в суд,2024-09-09,,Опер #70,Гр. Мельник 152,15
2377b44b-454c-430d-9211-8d58e6c0a24a,НПУ,121,На розыске,2020-05-28,,Опер #199,Гр. Коваленко 947,15
513421a4-e93e-4e90-9924-b47b3238f4cb,Прокуратура,263,В работе,2025-10-06,,Опер #67,Гр. Мельник 270,9
232a7e87-ad3a-4ead-a384-72b29cd38495,СБУ,307,Передано в суд,2023-10-15,,Опер #191,Гр. Гончар 492,5
edc992c3-2f6c-44c9-9c90-76b3180d878c,Прокуратура,263,Закрыто,2021-05-19,,Опер #100,Гр. Иванов 476,6
17a9d63b-5c12-4b72-b53b-66e4f2a078df,СБУ,263,Ожидание экспертизы,2020-03-13,2021-03-06,Опер #55,Гр. Мельник 110,13
c62002ed-ea12-454f-9912-7bbf8677529e,НПУ,115,На розыске,2021-09-12,2022-03-30,Опер #65,Гр. Иванов 400,4
c2f89531-f463-4bc3-81c4-d3bf1fc86445,Прокуратура,121,Передано в суд,2024-10-14,,Опер #197,Гр. Петров 594,3
039fcbd8-9f55-463e-9c8f-78dafc194878,НПУ,121,В работе,2020-02-29,2021-03-28,Опер #16,Гр. Гончар 553,6
1cc970da-edd1-4ec9-97ac-83f365ab80c2,НПУ,289,Закрыто,2025-04-27,,Опер #15,Гр. Сидоренко 471,5
000ceb58-8624-44c2-9e47-8dd063b1d171,НПУ,289,В работе,2023-03-15,,Опер #92,Гр. Коваленко 342,4
da929bc0-1396-4982-b068-89110dbe2192,Прокуратура,296,Закрыто,2022-02-28,,Опер #99,Гр. Коваленко 148,11
861da512-3de3-4be8-bf48-18819967daf2,СБУ,187,Ожидание экспертизы,2025-01-10,,Опер #94,Гр. Сидоренко 165,1
ab47f031-3809-4d0c-b20b-8b47f8b99f6f,Прокуратура,185,В работе,2025-11-20,,Опер #93,Гр. Мельник 569,6
60c57b69-01ee-4393-a068-3df2928c6685,НПУ,263,Ожидание экспертизы,2020-06-02,2021-01-10,Опер #146,Гр. Гончар 276,10
0e38210e-97fe-47fb-9547-ed1caf92bc91,НПУ,289,Передано в суд,2023-06-17,,Опер #30,Гр. Петров 976,8
613de597-a5b5-4e1d-8f33-17584e04acfb,СБУ,187,Ожидание экспертизы,2025-01-06,,Опер #37,Гр. Гончар 915,13
c7a43185-fbec-4e2c-a9de-ada12bebe2cf,НПУ,263,Ожидание экспертизы,2020-10-23,,Опер #61,Гр. Иванов 481,6
aec0e83c-e86a-4539-8aeb-b2c6bd7feb53,НПУ,187,Передано в суд,2021-08-08,,Опер #193,Гр. Иванов 581,6
1a413ea3-cf8d-495a-891b-178fee01ac48,Прокуратура,307,Ожидание экспертизы,2020-12-10,2021-05-05,Опер #128,Гр. Иванов 849,14
61ee4b0f-8a24-43b6-944c-fceae4447c0c,Прокуратура,194,На розыске,2025-01-20,,Опер #42,Гр. Сидоренко 558,12
11d8162f-fcda-4d93-b1e6-4b6a857403af,НПУ,263,Передано в суд,2020-12-01,,Опер #130,Гр. Сидоренко 981,13
de2f01d5-348a-4591-a22a-72991fb0fad9,НПУ,296,Закрыто,2021-09-21,,Опер #33,Гр. Петров 336,13
3736d29c-738e-4825-b365-32bdcbf5d68d,НПУ,194,Передано в суд,2022-04-21,,Опер #160,Гр. Сидоренко 939,10
84d6ef7e-5899-4b6e-b993-92312a876c8c,Прокуратура,307,Передано в суд,2020-11-05,2021-06-25,Опер #144,Гр. Петров 480,4
5ba41a01-ec2a-4d0a-92ee-ba6c2aaab744,НПУ,307,Закрыто,2021-11-29,,Опер #13,Гр. Коваленко 249,12
874970db-393f-46c0-aa38-dc6e81e415a7,Прокуратура,185,На розыске,2025-10-28,,Опер #193,Гр. Петров 999,10
7588d1a8-142a-4872-bb86-47f501179126,СБУ,307,Передано в суд,2020-06-01,2021-05-13,Опер #95,Гр. Коваленко 959,7
47505dd2-06e1-49dd-b665-fea4c22c4431,СБУ,121,На розыске,2021-11-08,,Опер #16,Гр. Петров 321,0
592d1bb0-f610-45d0-9a31-8dc5be5fd525,Прокуратура,309,Ожидание экспертизы,2023-06-21,2023-09-14,Опер #21,Гр. Иванов 129,6
2c69d170-75e7-4279-8805-965e3c6087b3,СБУ,309,На розыске,2022-01-20,,Опер #182,Гр. Коваленко 205,12
60b00d46-e398-4567-b602-35831740cab5,НПУ,296,Ожидание экспертизы,2020-01-08,,Опер #45,Гр. Сидоренко 317,7
3f47847b-c61b-4ca7-a463-6588b26e896a,СБУ,187,Закрыто,2021-01-03,2021-06-06,Опер #148,Гр. Гончар 322,12
126f68fc-5474-4cab-954e-ee7f82a9ec51,СБУ,289,На розыске,2021-09-06,,Опер #34,Гр. Гончар 970,4
bd71cb49-8b51-4cea-a3cd-31e6f4fdf92f,Прокуратура,296,Передано в суд,2025-03-27,2025-11-23,Опер #78,Гр. Иванов 220,10
f155a8f0-8dab-4816-929e-9c1f9b782491,НПУ,194,На розыске,2020-02-08,,Опер #195,Гр. Коваленко 538,4
109459e1-4e6f-4bed-90f6-924a842c1776,НПУ,185,В работе,2022-08-12,2022-09-18,Опер #8,Гр. Гончар 522,15
2d775fe6-0f77-49bf-8e8e-696b12d0e795,СБУ,185,В работе,2025-03-16,2025-10-01,Опер #154,Гр. Гончар 661,8
d1ad5c0c-ae9b-4b5a-8dab-708b52724649,СБУ,115,Закрыто,2024-07-22,,Опер #189,Гр. Сидоренко 638,10
a3e63f5a-412e-45dc-8b17-ac7fb4e49c5f,СБУ,309,Передано в суд,2021-07-12,2021-12-24,Опер #52,Гр. Петров 411,12
80e804b5-174e-4254-96d1-fb0bc05c30a4,СБУ,194,Передано в суд,2020-12-03,2021-11-02,Опер #133,Гр. Мельник 412,13
ee33bafa-4057-4530-aa77-7eaca3d71a50,Прокуратура,307,На розыске,2025-05-09,2025-12-17,Опер #114,Гр. Иванов 254,4
17486a92-a3c6-4411-aa03-85eccad5196f,НПУ,289,Закрыто,2020-07-11,2020-10-08,Опер #106,Гр. Иванов 276,4
e2ab6445-ac11-4e75-a446-334c570d021b,Прокуратура,194,В работе,2022-07-17,2022-11-17,Опер #131,Гр. Сидоренко 514,11
7d790e28-b30c-4cb4-b9e9-a02dc8144458,НПУ,296,Ожидание экспертизы,2022-11-08,2023-02-28,Опер #43,Гр. Коваленко 952,15
7d4f2d01-fb87-4cdc-9946-276cfe62d946,НПУ,115,Ожидание экспертизы,2022-01-06,2022-10-08,Опер #67,Гр. Гончар 131,2
8af978fb-c5e2-4a2f-a87a-134f19706758,НПУ,121,На розыске,2024-11-14,,Опер #10,Гр. Мельник 741,11
b140ed59-f0cf-424c-96fb-991073e52d46,НПУ,194,Закрыто,2024-05-25,,Опер #43,Гр. Мельник 990,13
66126ad1-d287-4625-8aa4-6fb33f83ea97,Прокуратура,289,На розыске,2025-10-19,,Опер #21,Гр. Гончар 373,2
5a0853b4-433b-4d94-bd0b-427fc25c4441,НПУ,185,Ожидание экспертизы,2020-03-31,,Опер #73,Гр. Мельник 458,5
f05d95f8-c955-4ed5-8aa9-8af74b837cd7,НПУ,307,Ожидание экспертизы,2020-03-29,,Опер #49,Гр. Сидоренко 967,1
e8c6146e-7b30-47ca-89a5-17359b271d78,СБУ,307,В работе,2023-03-25,2023-09-21,Опер #33,Гр. Коваленко 340,4
9652c4fc-92ed-4ebe-b029-48e62f552360,Прокуратура,263,На розыске,2024-07-18,,Опер #151,Гр. Гончар 289,8
b3e50461-a081-49e5-85c3-fb5a2d42a7e2,НПУ,309,Передано в суд,2022-07-26,2023-06-12,Опер #162,Гр. Петров 809,14
60c79c01-586e-48cf-a0e0-b09075aabbd6,СБУ,185,Закрыто,2022-12-08,2022-12-26,Опер #186,Гр. Мельник 772,6
3eaa1683-6d77-4cab-a5cc-69eedc3ce4f6,Прокуратура,194,В работе,2021-09-18,,Опер #103,Гр. Коваленко 666,2
998c9615-1332-4647-8b96-e9bf483fc66a,СБУ,187,На розыске,2023-01-10,2023-03-24,Опер #48,Гр. Гончар 939,11
779ead31-837b-4c1c-aab1-e5a5ed8f0074,НПУ,185,На розыске,2025-04-12,2026-05-04,Опер #184,Гр. Сидоренко 593,8
1d03e73f-8142-4d5d-85aa-6f3f36e4b03b,СБУ,185,В работе,2025-01-09,,Опер #148,Гр. Петров 173,15
70eac0e6-248d-4cc5-b0f2-b0e5995d8486,НПУ,296,Передано в суд,2025-07-23,,Опер #96,Гр. Коваленко 437,9
46c81ad2-ff9d-4f53-9b87-ff1e28aed880,СБУ,115,Закрыто,2023-03-09,,Опер #124,Гр. Сидоренко 530,3
cd31df6f-168a-46b7-856d-608840e62f78,СБУ,296,Ожидание экспертизы,2020-12-29,,Опер #3,Гр. Петров 525,8
e3bc6e78-7a73-406d-8f1c-038bc2601659,СБУ,187,Закрыто,2025-07-29,,Опер #106,Гр. Сидоренко 462,3
dbba232a-73e8-4425-bf91-c3c9f7de5de6,СБУ,307,Закрыто,2021-03-26,2021-06-04,Опер #27,Гр. Иванов 768,12
2cd223f6-1ed8-43f0-8c69-6e50911d7c02,СБУ,121,Ожидание экспертизы,2022-05-18,,Опер #73,Гр. Гончар 211,3
c2691c4a-be5f-4ec9-a8d2-599948269ee0,СБУ,307,В работе,2020-08-04,,Опер #150,Гр. Коваленко 507,13
4a09205b-223b-4de4-9c76-a519afc2501b,СБУ,263,В работе,2024-03-10,2024-04-14,Опер #13,Гр. Петров 426,8
498bc5fb-058f-4ff6-9757-29a4c97b8b5f,Прокуратура,289,На розыске,2024-01-08,,Опер #64,Гр. Сидоренко 941,2
9e907a77-995d-4001-bb84-29fca7d911ac,СБУ,307,На розыске,2025-01-07,,Опер #164,Гр. Коваленко 992,2
2aa6b3e4-69a3-49f0-872f-5a17db7f2b88,СБУ,185,Передано в суд,2025-11-13,2026-11-08,Опер #6,Гр. Гончар 467,10
2e28dee3-6dc6-4398-bc90-3d128437b762,СБУ,296,Ожидание экспертизы,2025-05-19,2025-06-21,Опер #52,Гр. Иванов 837,5
9fdc0d24-d47e-4ebb-99af-8b0f1e360eaf,Прокуратура,115,На розыске,2021-01-19,,Опер #137,Гр. Гончар 449,9
61845367-5a61-4a86-a412-0aee2229ed8b,НПУ,115,Передано в суд,2020-08-13,,Опер #105,Гр. Сидоренко 804,13
b3829a9b-901c-4ec4-91cd-2fc7cf312ba8,Прокуратура,307,Закрыто,2022-05-29,,Опер #105,Гр. Коваленко 100,4
56de2916-bd53-4ff0-8372-5dff3bea6648,СБУ,289,Ожидание экспертизы,2021-01-22,,Опер #87,Гр. Гончар 352,9
bbb7f214-2c35-46b3-894c-e20b5b84a74a,Прокуратура,121,Закрыто,2025-07-15,,Опер #196,Гр. Петров 507,9
fa3c6788-2c2d-4113-a525-15a604dc8836,НПУ,309,Закрыто,2024-04-12,,Опер #135,Гр. Мельник 244,13
4f6331a6-08d6-44b1-9a3f-89a06b5ada41,НПУ,115,Передано в суд,2023-02-23,2023-05-03,Опер #131,Гр. Коваленко 234,2
25158f35-a240-4918-ac6f-e86fc89eac8e,НПУ,194,Ожидание экспертизы,2021-01-16,2021-04-26,Опер #74,Гр. Гончар 829,9
c8e75767-084e-4b45-b5df-8c1a058382a4,Прокуратура,309,Передано в суд,2022-09-27,2023-10-30,Опер #80,Гр. Иванов 100,3
e2373467-014f-485b-b2e3-260a2b0a94fd,СБУ,296,Закрыто,2023-09-05,2024-09-06,Опер #63,Гр. Гончар 527,11
27d356bf-fd1f-4c93-bd67-c1db7405d40f,НПУ,185,Ожидание экспертизы,2021-01-09,,Опер #190,Гр. Сидоренко 267,7
6eb3930b-8835-4484-8cda-309f93278796,СБУ,296,В работе,2022-05-05,,Опер #97,Гр. Мельник 743,6
952408f4-094e-4799-9b4c-fbb2c88d6e0f,НПУ,309,Закрыто,2023-12-06,,Опер #56,Гр. Петров 830,15
2b992e8b-4abf-4c89-850c-75c7190f18bf,НПУ,296,Ожидание экспертизы,2022-02-25,,Опер #53,Гр. Коваленко 933,10
8ef876ba-748f-4afd-ae80-0482182f8ef7,Прокуратура,194,Передано в суд,2024-09-02,,Опер #74,Гр. Коваленко 302,1
142acbe1-c129-4e03-8077-48c2d2f0a4a2,Прокуратура,289,Закрыто,2022-07-08,,Опер #89,Гр. Сидоренко 671,11
c1f6ca7a-426e-422e-ae0e-25e0054d26e2,Прокуратура,263,Передано в суд,2020-07-12,,Опер #184,Гр. Гончар 777,5
87163733-3ab8-4fa7-b718-c49f61b175c2,НПУ,289,В работе,2022-10-10,2023-08-03,Опер #155,Гр. Петров 715,9
702989f3-e29a-4ee2-a9cd-2449a1673ef3,НПУ,309,Закрыто,2020-02-25,,Опер #69,Гр. Коваленко 879,9
102ae9d2-6d3c-4a49-a5ce-90a40b96f534,НПУ,194,Закрыто,2023-12-31,,Опер #190,Гр. Гончар 741,1
d4d5b025-169b-4239-9971-683307bb4025,Прокуратура,263,На розыске,2021-05-15,,Опер #117,Гр. Гончар 490,1
3f42ea04-b653-48c0-b3c6-7a719aa81504,Прокуратура,296,На розыске,2025-07-13,2025-07-31,Опер #167,Гр. Сидоренко 772,11
167be4cc-9973-47be-a029-9aaa8a8a9a92,НПУ,121,На розыске,2022-07-18,2022-07-21,Опер #81,Гр. Коваленко 835,1
225fd139-38d3-4068-8200-b279871b6f95,Прокуратура,194,В работе,2022-08-16,,Опер #68,Гр. Иванов 842,5
8e1478b0-3907-4f22-8faa-2bdea9fbb6f0,СБУ,296,В работе,2023-09-27,,Опер #8,Гр. Коваленко 780,11
3345877f-fd2d-4b3a-b49e-1ebccf7f9b89,СБУ,289,Ожидание экспертизы,2024-01-30,,Опер #80,Гр. Иванов 195,9
31449e2c-5130-430a-803c-ab9590ba16b8,Прокуратура,121,Закрыто,2025-01-05,,Опер #37,Гр. Коваленко 425,2
94cb76d2-b856-4e7c-a02e-af022360e43d,НПУ,307,Ожидание экспертизы,2025-05-12,2025-08-08,Опер #151,Гр. Мельник 968,3
8001b0dc-bf3d-4123-a758-2a95671090ff,НПУ,187,В работе,2023-11-14,2024-07-11,Опер #142,Гр. Сидоренко 689,11
dae6f38a-9e94-449e-a553-3256a9511f4f,НПУ,194,Закрыто,2025-09-30,,Опер #196,Гр. Петров 757,13
d616dda1-5a62-43fc-97e2-8f0cdbb80807,НПУ,263,Передано в суд,2021-12-16,2022-08-24,Опер #24,Гр. Коваленко 828,6
2e0762eb-5fc3-4e33-bb50-14685bd843a4,Прокуратура,296,Передано в суд,2022-04-28,2023-02-09,Опер #82,Гр. Петров 906,7
2195f581-4e51-4867-8f17-c6c82da6a2d4,СБУ,121,Передано в суд,2021-07-22,,Опер #75,Гр. Гончар 270,2
164848fe-2889-403e-b905-0717069c75ab,НПУ,121,В работе,2021-03-09,2021-03-17,Опер #69,Гр. Гончар 441,12
7a71208c-56e4-4051-9634-c00a1f981326,СБУ,263,Закрыто,2023-11-22,,Опер #185,Гр. Гончар 209,6
cb9f3a46-9921-4372-8e1d-5ed6abfaaebf,СБУ,194,На розыске,2020-05-18,2021-01-27,Опер #51,Гр. Гончар 702,4
6aea146e-32ed-44a1-a660-d7b9642770ba,СБУ,289,Передано в суд,2025-03-24,2025-08-04,Опер #86,Гр. Коваленко 162,7
288cc3cc-2123-42d9-90a2-7d8420c604f8,СБУ,185,Закрыто,2025-07-24,,Опер #197,Гр. Сидоренко 302,1
